dataset,spec,algorithm,fold,MAE,RMSE,MMRE,MdMRE,PRED25,SA
NASA93,raw,RF,6,766.6833333333329,1757.141805617987,2.57991414960181,0.4835666666666668,33.33333333333333,45.676278144905865
NASA93,raw,RF,7,448.8541111111111,627.9779967533364,5.970491496356792,0.6238130081300812,22.22222222222222,43.88469077384304
NASA93,raw,RF,8,342.9103333333335,468.7849948993438,1.037203088695205,0.33233125000000024,44.44444444444444,76.41447639024965
NASA93,raw,RF,9,105.96899999999995,157.92609172964418,0.2826201171238162,0.20747999999999933,55.55555555555556,83.01756166615473
NASA93,raw,RF,10,266.78088888888914,415.88596323591753,0.4337639385559084,0.3625851528384281,22.22222222222222,65.60349452577614
NASA93,raw,KNN,1,342.89199999999994,593.5595569780677,1.0592555355155668,0.6623301282051282,20.0,49.332824881931046
NASA93,raw,KNN,2,157.28799999999998,240.37408246314743,0.8391461615872136,0.7132930852891851,10.0,75.32676635570542
NASA93,raw,KNN,3,275.392,327.06187891590184,1.1321130865217408,0.8159375,0.0,54.466207136149556
NASA93,raw,KNN,4,447.50666666666666,789.3294874906311,1.0923036029226505,0.6666666666666666,0.0,43.55731280688199
NASA93,raw,KNN,5,429.1844444444444,723.9885152250537,0.5621353768506937,0.5877777777777777,11.11111111111111,47.11597347644653
NASA93,raw,KNN,6,848.1511111111112,2051.90017866367,2.0637896306417067,0.8400000000000001,11.11111111111111,39.90383898034078
NASA93,raw,KNN,7,518.8533333333334,723.6666407492702,5.3061780852515685,0.7491891891891893,0.0,35.13345534265386
NASA93,raw,KNN,8,975.0044444444443,1352.6933451287307,1.5249446980339112,0.4582456140350877,22.22222222222222,32.938765301942055
NASA93,raw,KNN,9,143.88888888888889,205.86547193090283,0.5728165180974624,0.5264000000000001,22.22222222222222,76.94057523916364
NASA93,raw,KNN,10,433.72888888888895,662.9213419403543,0.6719166752186199,0.5506666666666665,11.11111111111111,44.07861011659957
NASA93,raw,SVR,1,302.26024202448633,441.7236349861799,1.9742954881872887,1.0168402691018588,10.0,55.33674564036327
NASA93,raw,SVR,2,249.96277191671987,280.23029266410657,3.1672747041579106,1.5395813150698943,0.0,60.78919005978366
NASA93,raw,SVR,3,157.68671818810336,174.94078886713982,0.8332195959836388,0.4240614941413907,10.0,73.92780340983958
NASA93,raw,SVR,4,469.4214795994384,815.0173706521948,4.392804583110815,0.8907541900472903,22.22222222222222,40.79326251803683
NASA93,raw,SVR,5,522.5586897826176,780.1840766663757,2.091522878255581,0.7847593098971585,11.11111111111111,35.610416527678915
NASA93,raw,SVR,6,1204.1026516145548,2696.3409161699087,5.011098752409729,3.173536756339515,22.22222222222222,14.68271881312525
NASA93,raw,SVR,7,527.4493722217186,818.7624367746724,3.3280419422348166,0.7520624753487485,0.0,34.058786829208074
NASA93,raw,SVR,8,1344.212717512067,2090.2753379546275,4.92523145131906,0.9408924663056685,0.0,7.544457825979245
NASA93,raw,SVR,9,221.9804373539506,260.44156367965394,1.8013965179304856,0.7784073344973778,11.11111111111111,64.42573687886582
NASA93,raw,SVR,10,484.9006505066977,720.1507173394211,1.2171379107622533,0.5986979104331586,11.11111111111111,37.48094944478996
NASA93,semilog,LR,1,215.4019977078151,358.14531857868786,0.6958444007110781,0.6306498741375939,20.0,68.17128793134935
NASA93,semilog,LR,2,198.1276715361416,328.3422028491187,0.6817515964305716,0.8236911524295902,20.0,68.92038597215759
NASA93,semilog,LR,3,339.8773504486081,738.7060357569864,1.00848157160511,0.28999721650192267,40.0,43.80408699438898
NASA93,semilog,LR,4,524.1993288023782,1105.7742139568559,1.0100786221202631,0.5540705782669272,0.0,33.88429503671815
NASA93,semilog,LR,5,369.860555339142,657.2580031001495,0.6290217922500675,0.5143003111056826,0.0,54.42585193438132
NASA93,semilog,LR,6,491.6964342643586,1060.3629986314147,1.2357884425634125,0.4246163824944463,11.11111111111111,65.1606091187775
NASA93,semilog,LR,7,369.5389370490071,565.345183182376,4.509893283766618,0.47815559221959614,11.11111111111111,53.800597543202365
NASA93,semilog,LR,8,5919.61789602378,15265.12914825999,2.829380044844309,0.7546044121237377,22.22222222222222,-307.15392356418585
NASA93,semilog,LR,9,159.7734877260066,191.8639602024768,0.7214482295779586,0.602858662496999,0.0,74.39493245486612
NASA93,semilog,LR,10,239.19918484338996,382.29759716204137,0.3036126346110449,0.2039433360371074,55.55555555555556,69.15964968419367
NASA93,semilog,DT,1,241.2066121893543,454.6420338858497,0.820111227876047,0.23368352955991128,50.0,64.35828873396241
NASA93,semilog,DT,2,265.4200000000001,381.68282644101254,2.5296636590693025,0.8492063492063493,20.0,58.364467258349826
NASA93,semilog,DT,3,340.2799999999999,662.5759609282544,1.3973643520418841,0.4875833333333334,30.0,43.737512216364216
NASA93,semilog,DT,4,395.8666666666667,764.1587851283847,0.49326537242577356,0.3333333333333334,33.33333333333333,50.07051268469226
NASA93,semilog,DT,5,392.9777777777777,601.412507721983,0.5867571317930589,0.6571428571428571,22.22222222222222,51.5773521333734
NASA93,semilog,DT,6,498.866666666667,1346.5853655326384,0.5550667258051665,0.4911460236268424,44.44444444444444,64.65255880161997
NASA93,semilog,DT,7,687.9777777777776,997.393761538318,6.507839899848019,0.8195121951219512,11.11111111111111,13.989679976067793
