dataset,algorithm,spec,metric,seed42,mean10,sd10,min10,max10
COCOMO81,RF,loglog,MMRE,0.7718413537170156,0.8265090037992305,0.061851015541525396,0.7531645811881988,0.9678801874656704
COCOMO81,RF,loglog,MdMRE,0.578367155872467,0.6107019308515571,0.06522028834636058,0.5255089985729375,0.7595914052425938
COCOMO81,RF,loglog,PRED25,18.809523809523807,17.547619047619044,1.6189309014885123,14.523809523809522,19.76190476190476
COCOMO81,RF,loglog,SA,65.17494952149852,69.06842468171226,2.210217183533459,65.17494952149852,71.82489972462213
COCOMO81,KNN,loglog,MAE,603.8331564614912,598.0582310199173,10.343735318967903,579.9971247233404,608.482594911668
COCOMO81,KNN,loglog,RMSE,1225.5877315627426,1170.8139018337001,75.35446783164878,1059.1972572167824,1253.610586026855
COCOMO81,KNN,loglog,MMRE,1.6090231775018389,1.7256201393115096,0.08507628127232338,1.6090231775018389,1.8126655701127472
COCOMO81,KNN,loglog,MdMRE,0.8907718555372593,0.9503858830579548,0.08998893155161418,0.810040477676678,1.1375541873790707
COCOMO81,KNN,loglog,PRED25,7.857142857142856,12.166666666666664,3.530541974172421,7.857142857142856,16.190476190476186
COCOMO81,KNN,loglog,SA,54.760960105363424,57.547553450489524,2.2744388009717973,54.760960105363424,60.75505399704481
COCOMO81,SVR,loglog,MAE,538.4519955833397,543.8471392666239,11.341736014925601,527.5077292094982,561.4394679977347
COCOMO81,SVR,loglog,RMSE,1153.4971580248443,1108.3433881717915,71.85895628390045,1000.1497904296923,1184.6472961395848
COCOMO81,SVR,loglog,MMRE,1.1061646332426671,1.239166561484427,0.15880925533645107,1.1061646332426671,1.5433633196716021
COCOMO81,SVR,loglog,MdMRE,0.5993517812910725,0.722395266950704,0.07612711410250379,0.5993517812910725,0.8375610419465552
COCOMO81,SVR,loglog,PRED25,25.71428571428571,20.809523809523807,2.6494150963436605,16.190476190476186,25.71428571428571
COCOMO81,SVR,loglog,SA,60.815534356494666,62.70799976314049,2.1652900738786784,60.34777704509595,66.15945375255512
NASA93,LR,raw,MAE,438.02325191896,446.3244675240924,14.517091223193017,424.0597214894325,471.20581450477005
NASA93,LR,raw,RMSE,676.8248178142488,711.7500121343403,38.12467803480721,656.3200947447988,779.4007366054775
NASA93,LR,raw,MMRE,2.7255783465494337,2.7100682113097885,0.0842814676868592,2.581676119772631,2.8299038669655023
NASA93,LR,raw,MdMRE,0.9070226999968909,1.0343501672666862,0.19989967587754806,0.7505165095154063,1.440324253007881
NASA93,LR,raw,PRED25,24.88888888888889,24.633333333333333,1.5999399851570213,21.333333333333332,26.888888888888886
NASA93,LR,raw,SA,50.842233756146996,47.58297903853526,2.315649197472463,43.99918409230289,50.842233756146996
NASA93,DT,raw,MAE,438.184,414.67344444444444,37.567949173137535,364.94166666666666,481.1091111111111
NASA93,DT,raw,RMSE,720.7794139800721,769.5102779196175,83.96662481576386,671.5206787452942,964.7443697648025
NASA93,DT,raw,MMRE,1.6253247506251234,1.1441136201834632,0.30498400385901636,0.8388326004748304,1.6253247506251234
NASA93,DT,raw,MdMRE,0.4891631025887045,0.4484863074529371,0.026670244717610612,0.4049046793953134,0.4891631025887045
NASA93,DT,raw,PRED25,32.55555555555556,34.722222222222214,2.5000685861648133,31.111111111111107,39.55555555555556
NASA93,DT,raw,SA,52.54304249231743,53.89709520970784,4.374859911706094,44.88902097202742,59.39130179684315
NASA93,RF,raw,MAE,331.0068188888889,323.6901893015873,17.69690147016831,295.11233,354.82704866666666
NASA93,RF,raw,RMSE,618.5900010724393,596.8126065902542,24.06739092242894,557.7529107666072,646.6420915397891
NASA93,RF,raw,MMRE,1.4649910682212377,1.2510300591574015,0.14155452884236813,1.1030047808671068,1.4649910682212377
NASA93,RF,raw,MdMRE,0.3641555966531737,0.34648229636347494,0.033317927122299806,0.2958050309771606,0.4046235602131234
NASA93,RF,raw,PRED25,40.66666666666667,42.63333333333334,3.8911986086290917,38.888888888888886,51.88888888888889
NASA93,RF,raw,SA,61.33311350986975,62.94586729053758,2.1242929482803277,58.105991254616846,65.59780300804722
NASA93,KNN,raw,MAE,457.18897777777784,461.7400022222222,22.277361702769973,424.9912666666667,495.9734888888888
NASA93,KNN,raw,RMSE,767.1360499485729,793.317200488357,39.03055745547579,730.7799008941739,859.0015627803014
NASA93,KNN,raw,MMRE,1.4824599370641134,1.5515561269730733,0.12835917064571237,1.281379116303443,1.7406596658065454
NASA93,KNN,raw,MdMRE,0.65705066278297,0.6962517805053605,0.07239133051994137,0.6161797837925292,0.8416150932880824
NASA93,KNN,raw,PRED25,10.777777777777777,11.61111111111111,1.5264022988885095,8.777777777777777,14.0
NASA93,KNN,raw,SA,49.87943296378144,47.4040516200762,3.0394337445204003,42.77886431917,51.57901709990731
NASA93,SVR,raw,MAE,548.4535730720354,539.3467258439066,5.7936705184551425,529.1460322336574,548.4535730720354
NASA93,SVR,raw,RMSE,907.8067135754281,944.3948434242441,27.010182706253282,905.8930886975138,986.5549767663267
